"Time","A","B","C","D","E","F","G","H"
"17:15:51",0.49662,0,1.57818,2.6082,0,3.09404,0,0.19537
"17:19:03",0.14525,2.9805,1.68644,3.14159,3.14159,2.36478,2.21299,1.1467
"17:19:09",0.14525,2.9805,1.68644,3.14159,3.14159,2.36478,2.21299,1.1467
"17:20:10",0.00835,3.12117,1.75368,3.92053,3.14159,2.51206,2.144,1.89142
"17:20:21",0.00835,3.12117,1.75368,3.92053,3.14159,2.51206,2.144,1.89142
"17:20:33",0.00835,3.12117,1.75368,3.92053,3.14159,2.51206,2.144,1.89142
"17:20:44",0.00835,3.12117,1.75368,3.92053,3.14159,2.51206,2.144,1.89142
"17:20:55",0.00835,3.12117,1.75368,3.92053,3.14159,2.51206,2.144,1.89142
"17:21:06",0.60746,2.6503,1.50098,3.93651,3.14159,2.30539,2.144,1.53501
"17:21:17",0.60746,2.6503,1.50098,3.93651,3.14159,2.30539,2.144,1.53501
"17:21:27",0.60746,2.6503,1.50098,3.93651,3.14159,2.30539,2.144,1.53501
"17:21:38",0.60746,2.6503,1.50098,3.93651,3.14159,2.30539,2.144,1.53501
"17:21:49",0.60746,2.6503,1.50098,3.93651,3.14159,2.30539,2.144,1.53501
"17:21:59",0.60746,2.6503,1.50098,3.93651,3.14159,2.30539,2.144,1.53501
"17:22:10",2.30963,1.63697,1.80591,3.89404,3.14159,2.30539,2.22217,1.91139
"17:22:21",2.30963,1.63697,1.80591,3.89404,3.14159,2.30539,2.22217,1.91139
"17:22:31",2.30963,1.63697,1.80591,3.89404,3.14159,2.30539,2.22217,1.91139
"17:22:42",2.30963,1.63697,1.80591,3.89404,3.14159,2.30539,2.22217,1.91139
"17:22:52",2.30963,1.63697,1.80591,3.89404,3.14159,2.30539,2.22217,1.91139
"17:23:03",2.12173,0.84658,1.57288,3.91147,3.48575,2.42896,2.15977,1.91139
"17:23:13",2.12173,0.84658,1.57288,3.91147,3.48575,2.42896,2.15977,1.91139
"17:23:24",2.12173,0.84658,1.57288,3.91147,3.48575,2.42896,2.15977,1.91139
"17:23:34",2.12173,0.84658,1.57288,3.91147,3.48575,2.42896,2.15977,1.91139
"17:23:45",2.12173,0.84658,1.57288,3.91147,3.48575,2.42896,2.15977,1.91139
"17:23:55",2.12173,0.84658,1.57288,3.91147,3.48575,2.42896,2.15977,1.91139
"17:24:06",2.17578,0.49092,1.57288,3.91147,3.4197,2.268,2.15977,1.58849
"17:24:17",2.17578,0.49092,1.57288,3.91147,3.4197,2.268,2.15977,1.58849
"17:24:27",2.17578,0.49092,1.57288,3.91147,3.4197,2.268,2.15977,1.58849
"17:24:38",2.17578,0.49092,1.57288,3.91147,3.4197,2.268,2.15977,1.58849
"17:24:48",2.17578,0.49092,1.57288,3.91147,3.4197,2.268,2.15977,1.58849
"17:24:59",2.17578,0.49092,1.57288,3.91147,3.4197,2.268,2.15977,1.58849
"17:25:09",2.30963,0.66164,1.78279,3.92922,3.14159,2.268,3.96853,1.89182
"17:25:20",2.30963,0.66164,1.78279,3.92922,3.14159,2.268,3.96853,1.89182
"17:25:31",2.30963,0.66164,1.78279,3.92922,3.14159,2.268,3.96853,1.89182
"17:25:41",2.30963,0.66164,1.78279,3.92922,3.14159,2.268,3.96853,1.89182
"17:25:52",2.30963,0.66164,1.78279,3.92922,3.14159,2.268,3.96853,1.89182
"17:26:02",2.11474,2.26595,1.8845,1.28042,3.36176,2.36234,3.14159,1.40835
"17:26:13",2.11474,2.26595,1.8845,1.28042,3.36176,2.36234,3.14159,1.40835
"17:26:24",2.11474,2.26595,1.8845,1.28042,3.36176,2.36234,3.14159,1.40835
"17:26:35",2.11474,2.26595,1.8845,1.28042,3.36176,2.36234,3.14159,1.40835
"17:26:45",2.11474,2.26595,1.8845,1.28042,3.36176,2.36234,3.14159,1.40835
"17:26:57",2.11474,2.26595,1.8845,1.28042,3.36176,2.36234,3.14159,1.40835
"17:27:08",2.16911,1.34039,2.16678,0,3.79223,2.268,5.14183,1.22358
"17:27:19",2.16911,1.34039,2.16678,0,3.79223,2.268,5.14183,1.22358
"17:27:31",2.16911,1.34039,2.16678,0,3.79223,2.268,5.14183,1.22358
"17:27:42",2.16911,1.34039,2.16678,0,3.79223,2.268,5.14183,1.22358
"17:27:52",2.16911,1.34039,2.16678,0,3.79223,2.268,5.14183,1.22358
"17:28:03",2.30317,1.5382,2.07641,0,3.67915,2.268,3.14159,1.44683
"17:28:13",2.30317,1.5382,2.07641,0,3.67915,2.268,3.14159,1.44683
"17:28:24",2.30317,1.5382,2.07641,0,3.67915,2.268,3.14159,1.44683
"17:28:35",2.30317,1.5382,2.07641,0,3.67915,2.268,3.14159,1.44683
"17:28:46",2.30317,1.5382,2.07641,0,3.67915,2.268,3.14159,1.44683
"17:28:56",2.30317,1.5382,2.07641,0,3.67915,2.268,3.14159,1.44683
"17:29:07",2.11474,2.26966,0.56153,0,2.07542,2.36234,2.9126,1.44683
"17:29:21",2.11474,2.26966,0.56153,0,2.07542,2.36234,2.9126,1.44683
"17:29:33",2.11474,2.26966,0.56153,0,2.07542,2.36234,2.9126,1.44683
"17:29:47",2.11474,2.26966,0.56153,0,2.07542,2.36234,2.9126,1.44683
"17:29:58",2.11474,2.26966,0.56153,0,2.07542,2.36234,2.9126,1.44683
"17:30:09",2.16911,1.34039,1.71111,0,1.33535,2.268,3.95529,1.27648
"17:30:20",2.16911,1.34039,1.71111,0,1.33535,2.268,3.95529,1.27648
"17:30:31",2.16911,1.34039,1.71111,0,1.33535,2.268,3.95529,1.27648
"17:30:42",2.16911,1.34039,1.71111,0,1.33535,2.268,3.95529,1.27648
"17:30:53",2.16911,1.34039,1.71111,0,1.33535,2.268,3.95529,1.27648
"17:31:04",2.30317,1.5382,2.13766,0,1.85162,2.268,3.14159,1.44683
"17:31:15",2.30317,1.5382,2.13766,0,1.85162,2.268,3.14159,1.44683
"17:31:26",2.30317,1.5382,2.13766,0,1.85162,2.268,3.14159,1.44683
"17:31:37",2.30317,1.5382,2.13766,0,1.85162,2.268,3.14159,1.44683
"17:31:49",2.30317,1.5382,2.13766,0,1.85162,2.268,3.14159,1.44683
"17:32:02",2.30317,1.5382,2.13766,0,1.85162,2.268,3.14159,1.44683
"17:32:13",2.20663,2.26966,2.56023,0.41927,2.14283,2.33873,3.14159,1.44683
"17:32:24",2.20663,2.26966,2.56023,0.41927,2.14283,2.33873,3.14159,1.44683
"17:32:34",2.20663,2.26966,2.56023,0.41927,2.14283,2.33873,3.14159,1.44683
"17:32:46",2.20663,2.26966,2.56023,0.41927,2.14283,2.33873,3.14159,1.44683
"17:32:58",2.20663,2.26966,2.56023,0.41927,2.14283,2.33873,3.14159,1.44683
"17:33:08",2.22346,1.34039,1.71684,2.0738,1.14918,2.24363,3.14159,1.27648
